feature,importance
num__transaction_amount,0.41809094
num__transaction_gap_minutes,0.13637514
cat__merchant_category_grocery,0.09462039
cat__merchant_category_entertainment,0.07335343
cat__merchant_category_electronics,0.06037981
cat__merchant_category_dining,0.05000163
num__new_merchant,0.04086612
cat__merchant_category_retail,0.038863752
num__device_usage_frequency,0.03436832
cat__merchant_category_digital_goods,0.019242397
cat__merchant_category_travel,0.011124764
num__daily_transaction_count,0.005200154
num__distance_from_last_transaction_km,0.0031949275
num__average_amount_last_7_days,0.0021189349
cat__city_loc_user_03_1,0.002098922
num__std_amount_last_7_days,0.0019930203
num__hour_of_day,0.0019526416
num__merchant_visit_frequency,0.0014264168
cat__city_loc_user_03_3,0.001238726
num__location_visit_frequency,0.0008960334
