feature,importance
num__transaction_amount,0.17909834
num__new_device,0.11146634
num__new_location,0.07368041
cat__merchant_category_electronics,0.073271535
cat__merchant_category_grocery,0.071563356
cat__merchant_category_digital_goods,0.06022906
num__transaction_gap_minutes,0.05826147
cat__merchant_category_dining,0.057957705
cat__merchant_category_entertainment,0.03771986
num__new_merchant,0.03649339
num__distance_from_last_transaction_km,0.03446041
cat__merchant_category_travel,0.033853494
cat__merchant_category_retail,0.031802837
cat__merchant_id_merch_16,0.029291414
num__device_usage_frequency,0.013067598
cat__payment_method_digital_wallet,0.011610523
cat__merchant_id_merch_15,0.0082688825
cat__merchant_id_merch_5,0.008082542
cat__merchant_id_merch_4,0.007810268
cat__merchant_id_merch_18,0.007053418
