n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,precision,recall,f1,roc_auc,pr_auc,best_iteration
100,3,0.03,0.8,0.8,1,0.7605633802816901,1.0,0.864,0.9997195690431092,0.9945332929829054,99
100,3,0.03,0.8,0.8,3,0.7605633802816901,1.0,0.864,0.9997195690431091,0.9945332929829054,99
100,3,0.03,0.8,1.0,1,0.7431192660550459,1.0,0.8526315789473684,0.9996507207243515,0.9955212771100699,99
100,3,0.03,0.8,1.0,3,0.7431192660550459,1.0,0.8526315789473684,0.9996507207243515,0.9955212771100699,99
100,3,0.03,1.0,0.8,1,0.7714285714285715,1.0,0.8709677419354839,0.9995936269966013,0.9930382763716098,99
100,3,0.03,1.0,0.8,3,0.7714285714285715,1.0,0.8709677419354839,0.9995936269966013,0.9930382763716099,99
100,3,0.03,1.0,1.0,1,0.7605633802816901,1.0,0.864,0.9997246067249694,0.9963310348697881,99
100,3,0.03,1.0,1.0,3,0.7431192660550459,1.0,0.8526315789473684,0.9997850589072932,0.996878645376114,99
100,3,0.05,0.8,0.8,1,0.8223350253807107,1.0,0.9025069637883009,0.9998841333172128,0.9982789208329148,99
100,3,0.05,0.8,0.8,3,0.8223350253807107,1.0,0.9025069637883009,0.9998841333172127,0.9982789208329146,99
100,3,0.05,0.8,1.0,1,0.8140703517587939,1.0,0.8975069252077562,0.9998858125444996,0.9981794063651853,99
100,3,0.05,0.8,1.0,3,0.8140703517587939,1.0,0.8975069252077562,0.9998975671355069,0.9984578838629915,99
100,3,0.05,1.0,0.8,1,0.826530612244898,1.0,0.9050279329608939,0.9998858125444995,0.9981514919932684,99
100,3,0.05,1.0,0.8,3,0.8223350253807107,1.0,0.9025069637883009,0.9999093217265144,0.9984340325983895,99
100,3,0.05,1.0,1.0,1,0.8140703517587939,1.0,0.8975069252077562,0.9997984927255874,0.9971350518448268,99
100,3,0.05,1.0,1.0,3,0.8181818181818182,1.0,0.9,0.9997984927255873,0.9971350518448266,99
100,3,0.1,0.8,0.8,1,0.9529411764705882,1.0,0.9759036144578314,0.9999059632719407,0.9988143030210527,99
100,3,0.1,0.8,0.8,3,0.9473684210526315,1.0,0.972972972972973,0.9999110009538011,0.9988867632971956,99
100,3,0.1,0.8,1.0,1,0.9257142857142857,1.0,0.9614243323442137,0.9999311516812424,0.9991501156772882,99
100,3,0.1,0.8,1.0,3,0.9310344827586207,1.0,0.9642857142857143,0.9999076424992276,0.9988584284155984,99
100,3,0.1,1.0,0.8,1,0.9529411764705882,1.0,0.9759036144578314,0.9999177178629483,0.9988990561769401,99
100,3,0.1,1.0,0.8,3,0.9529411764705882,1.0,0.9759036144578314,0.9999345101358159,0.9991295258026487,99
100,3,0.1,1.0,1.0,1,0.9418604651162791,1.0,0.9700598802395209,0.9999311516812424,0.999161986967,99
100,3,0.1,1.0,1.0,3,0.9529411764705882,1.0,0.9759036144578314,0.9999378685903895,0.999242156904149,99
100,5,0.03,0.8,0.8,1,0.9101123595505618,1.0,0.9529411764705882,0.9998807748626393,0.9985799041728349,99
100,5,0.03,0.8,0.8,3,0.9101123595505618,1.0,0.9529411764705882,0.9999009255900804,0.9988193179803744,99
100,5,0.03,0.8,1.0,1,0.9257142857142857,1.0,0.9614243323442137,0.9998690202716318,0.9980067544193365,99
100,5,0.03,0.8,1.0,3,0.9257142857142857,1.0,0.9614243323442137,0.9998992463627937,0.9985203979949286,99
100,5,0.03,1.0,0.8,1,0.9101123595505618,1.0,0.9529411764705882,0.999832077271323,0.997955411399218,99
100,5,0.03,1.0,0.8,3,0.9101123595505618,1.0,0.9529411764705882,0.999889170999073,0.9987077708442293,99
100,5,0.03,1.0,1.0,1,0.9310344827586207,1.0,0.9642857142857143,0.9998858125444995,0.9979924519200805,99
100,5,0.03,1.0,1.0,3,0.9310344827586207,1.0,0.9642857142857143,0.9998958879082201,0.9982427021703308,99
100,5,0.05,0.8,0.8,1,0.9585798816568047,1.0,0.9788519637462235,0.9999177178629481,0.9990030443976154,99
100,5,0.05,0.8,0.8,3,0.9585798816568047,1.0,0.9788519637462235,0.9999378685903895,0.9992527988485198,99
100,5,0.05,0.8,1.0,1,0.9642857142857143,1.0,0.9818181818181818,0.9999126801810878,0.998891173881927,99
100,5,0.05,0.8,1.0,3,0.9585798816568047,1.0,0.9788519637462235,0.9999445854995366,0.9993155039871491,99
100,5,0.05,1.0,0.8,1,0.9642857142857143,1.0,0.9818181818181818,0.9999093217265143,0.9989148913754523,99
100,5,0.05,1.0,0.8,3,0.9585798816568047,1.0,0.9788519637462235,0.9999361893631028,0.9992594623515096,99
100,5,0.05,1.0,1.0,1,0.9585798816568047,1.0,0.9788519637462235,0.9998774164080657,0.9983635760162075,99
100,5,0.05,1.0,1.0,3,0.9642857142857143,1.0,0.9818181818181818,0.9999244347720954,0.9990568369943211,99
100,5,0.1,0.8,0.8,1,0.9700598802395209,1.0,0.9848024316109423,0.999889170999073,0.9986815054341904,99
100,5,0.1,0.8,0.8,3,0.9700598802395209,1.0,0.9848024316109423,0.9999093217265144,0.9989269696449514,99
100,5,0.1,0.8,1.0,1,0.9700598802395209,1.0,0.9848024316109423,0.9999294724539556,0.9991878037983817,79
100,5,0.1,0.8,1.0,3,0.9642857142857143,1.0,0.9818181818181818,0.9999126801810879,0.9989871712276859,97
100,5,0.1,1.0,0.8,1,0.9700598802395209,1.0,0.9848024316109423,0.9999059632719407,0.9989127744291834,87
100,5,0.1,1.0,0.8,3,0.9642857142857143,1.0,0.9818181818181818,0.999926113999382,0.9991660628988668,85
100,5,0.1,1.0,1.0,1,0.9700598802395209,1.0,0.9848024316109423,0.9998958879082201,0.9988034711709699,84
100,5,0.1,1.0,1.0,3,0.9642857142857143,1.0,0.9818181818181818,0.999926113999382,0.9991646465874018,86
100,7,0.03,0.8,0.8,1,0.9642857142857143,1.0,0.9818181818181818,0.9997615497252783,0.9968164817396487,99
100,7,0.03,0.8,0.8,3,0.9700598802395209,1.0,0.9848024316109423,0.9998891709990732,0.9987087152823932,99
100,7,0.03,0.8,1.0,1,0.9585798816568047,1.0,0.9788519637462235,0.9998203226803154,0.9977467809902618,99
100,7,0.03,0.8,1.0,3,0.9585798816568047,1.0,0.9788519637462235,0.9999277932266688,0.9991669777411241,99
100,7,0.03,1.0,0.8,1,0.9642857142857143,1.0,0.9818181818181818,0.9997380405432637,0.9965392725669897,99
100,7,0.03,1.0,0.8,3,0.9529411764705882,1.0,0.9759036144578314,0.9998992463627936,0.9988539191740011,99
100,7,0.03,1.0,1.0,1,0.9585798816568047,1.0,0.9788519637462235,0.9999143594083746,0.9986027432516682,99
100,7,0.03,1.0,1.0,3,0.9585798816568047,1.0,0.9788519637462235,0.9999529816359704,0.9993897102220483,99
100,7,0.05,0.8,0.8,1,0.9700598802395209,1.0,0.9848024316109423,0.9998925294536466,0.9987517321024558,99
100,7,0.05,0.8,0.8,3,0.9700598802395209,1.0,0.9848024316109423,0.9999093217265143,0.9989595229994168,99
100,7,0.05,0.8,1.0,1,0.9585798816568047,1.0,0.9788519637462235,0.9999160386356614,0.9990389367624481,99
100,7,0.05,0.8,1.0,3,0.9585798816568047,1.0,0.9788519637462235,0.9999294724539556,0.9992046083477295,99
100,7,0.05,1.0,0.8,1,0.9700598802395209,1.0,0.9848024316109423,0.999889170999073,0.9987211043112475,99
100,7,0.05,1.0,0.8,3,0.9700598802395209,1.0,0.9848024316109423,0.9999126801810878,0.9990165086216071,99
100,7,0.05,1.0,1.0,1,0.9642857142857143,1.0,0.9818181818181818,0.9998975671355069,0.9988000053849648,99
100,7,0.05,1.0,1.0,3,0.9585798816568047,1.0,0.9788519637462235,0.9999462647268232,0.9993931766066604,99
100,7,0.1,0.8,0.8,1,0.9700598802395209,1.0,0.9848024316109423,0.9998790956353525,0.9985970663873389,96
100,7,0.1,0.8,0.8,3,0.9700598802395209,1.0,0.9848024316109423,0.9999093217265141,0.9989589350154793,92
100,7,0.1,0.8,1.0,1,0.9642857142857143,1.0,0.9818181818181818,0.9999126801810878,0.9990119655301453,72
100,7,0.1,0.8,1.0,3,0.9642857142857143,1.0,0.9818181818181818,0.9999328309085291,0.9992442095583631,72
100,7,0.1,1.0,0.8,1,0.9700598802395209,1.0,0.9848024316109423,0.9999093217265144,0.9989685699569002,95
