feature,importance
num__new_device,0.16416834
num__transaction_amount,0.16211317
cat__merchant_category_grocery,0.1006502
cat__merchant_category_electronics,0.08489126
num__transaction_gap_minutes,0.0710773
cat__merchant_category_digital_goods,0.05718299
cat__merchant_category_dining,0.051974107
cat__merchant_category_travel,0.046005942
cat__merchant_category_retail,0.04161601
num__new_location,0.04105059
num__new_merchant,0.039720356
num__distance_from_last_transaction_km,0.028391134
cat__merchant_category_entertainment,0.02637813
cat__merchant_id_merch_user_09_4,0.012733557
cat__payment_method_digital_wallet,0.009947188
num__device_usage_frequency,0.009413634
cat__merchant_id_merch_user_09_11,0.005939847
cat__merchant_id_merch_user_09_14,0.0057759536
cat__merchant_id_merch_user_09_12,0.005387026
cat__merchant_id_merch_user_09_1,0.004529304
