n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,precision,recall,f1,roc_auc,pr_auc
100,5.0,2,1,sqrt,balanced,0.8627450980392157,0.8918918918918919,0.8770764119601329,0.9967128305411243,0.9665282962615146
100,5.0,2,1,sqrt,balanced_subsample,0.8601398601398601,0.831081081081081,0.845360824742268,0.9953446967485844,0.9520429950498339
100,5.0,2,1,log2,balanced,0.7911392405063291,0.8445945945945946,0.8169934640522876,0.9921852197770124,0.9183319201500774
100,5.0,2,1,log2,balanced_subsample,0.905982905982906,0.7162162162162162,0.8,0.9936044305644738,0.9306609092494799
100,5.0,2,2,sqrt,balanced,0.8289473684210527,0.8513513513513513,0.84,0.9945201681162804,0.9477662878552121
100,5.0,2,2,sqrt,balanced_subsample,0.8561643835616438,0.8445945945945946,0.8503401360544217,0.9947171793824061,0.9488395868688965
100,5.0,2,2,log2,balanced,0.75625,0.8175675675675675,0.7857142857142857,0.9858188371957272,0.8713523309749417
100,5.0,2,2,log2,balanced_subsample,0.7628205128205128,0.8040540540540541,0.7828947368421053,0.9745016344638375,0.8840975892060179
100,5.0,2,5,sqrt,balanced,0.8157894736842105,0.8378378378378378,0.8266666666666667,0.9934147160119082,0.9410229989382197
100,5.0,2,5,sqrt,balanced_subsample,0.8551724137931035,0.8378378378378378,0.8464163822525598,0.9945931352518825,0.94666492414953
100,5.0,2,5,log2,balanced,0.7314285714285714,0.8648648648648649,0.7925696594427245,0.9892227540715661,0.887183902320085
100,5.0,2,5,log2,balanced_subsample,0.7549668874172185,0.7702702702702703,0.7625418060200669,0.9752422508901991,0.8790232403209507
100,5.0,5,1,sqrt,balanced,0.8618421052631579,0.8851351351351351,0.8733333333333333,0.9963662366470142,0.9623940513552385
100,5.0,5,1,sqrt,balanced_subsample,0.8601398601398601,0.831081081081081,0.845360824742268,0.9950966084875372,0.9501035459428213
100,5.0,5,1,log2,balanced,0.8012820512820513,0.8445945945945946,0.8223684210526315,0.9919152413752845,0.9159645434756166
100,5.0,5,1,log2,balanced_subsample,0.8916666666666667,0.722972972972973,0.7985074626865671,0.9920246920786878,0.9197170354204587
100,5.0,5,2,sqrt,balanced,0.84,0.8513513513513513,0.8456375838926175,0.9946879925281653,0.9491147648982745
100,5.0,5,2,sqrt,balanced_subsample,0.8551724137931035,0.8378378378378378,0.8464163822525598,0.994709882668846,0.9486379105762547
100,5.0,5,2,log2,balanced,0.7469135802469136,0.8175675675675675,0.7806451612903226,0.9859538263965909,0.870333180051572
100,5.0,5,2,log2,balanced_subsample,0.7628205128205128,0.8040540540540541,0.7828947368421053,0.9745016344638375,0.8840975892060179
100,5.0,5,5,sqrt,balanced,0.8157894736842105,0.8378378378378378,0.8266666666666667,0.9934147160119082,0.9410229989382197
100,5.0,5,5,sqrt,balanced_subsample,0.8551724137931035,0.8378378378378378,0.8464163822525598,0.9945931352518825,0.94666492414953
