n_estimators,max_samples,contamination,precision,recall,f1,roc_auc
100,0.5,0.01,0.5,0.013513513513513514,0.02631578947368421,0.605287928317086
100,0.5,0.02,0.5294117647058824,0.060810810810810814,0.10909090909090909,0.605287928317086
100,0.5,0.05,0.2602739726027397,0.12837837837837837,0.17194570135746606,0.605287928317086
100,0.5,0.1,0.208955223880597,0.28378378378378377,0.24068767908309455,0.605287928317086
100,0.75,0.01,0.0,0.0,0.0,0.5245497927733349
100,0.75,0.02,0.125,0.013513513513513514,0.024390243902439025,0.5245497927733349
100,0.75,0.05,0.1375,0.07432432432432433,0.09649122807017543,0.5245497927733349
100,0.75,0.1,0.10404624277456648,0.12162162162162163,0.11214953271028037,0.5245497927733349
100,1.0,0.01,0.0,0.0,0.0,0.5437510945070341
100,1.0,0.02,0.2222222222222222,0.013513513513513514,0.025477707006369428,0.5437510945070341
100,1.0,0.05,0.2804878048780488,0.1554054054054054,0.2,0.5437510945070341
100,1.0,0.1,0.18274111675126903,0.24324324324324326,0.20869565217391303,0.5437510945070341
200,0.5,0.01,1.0,0.02027027027027027,0.039735099337748346,0.6100891658397057
200,0.5,0.02,0.7,0.0945945945945946,0.16666666666666666,0.6100891658397057
200,0.5,0.05,0.4567901234567901,0.25,0.3231441048034934,0.6100891658397057
200,0.5,0.1,0.23737373737373738,0.31756756756756754,0.27167630057803466,0.6100891658397057
200,0.75,0.01,0.0,0.0,0.0,0.538048712859728
200,0.75,0.02,0.08333333333333333,0.006756756756756757,0.0125,0.538048712859728
200,0.75,0.05,0.14285714285714285,0.06756756756756757,0.09174311926605505,0.538048712859728
200,0.75,0.1,0.12,0.14189189189189189,0.13003095975232198,0.538048712859728
200,1.0,0.01,0.0,0.0,0.0,0.503188663825813
200,1.0,0.02,0.2727272727272727,0.02027027027027027,0.03773584905660377,0.503188663825813
200,1.0,0.05,0.1,0.0472972972972973,0.06422018348623854,0.503188663825813
200,1.0,0.1,0.09554140127388536,0.10135135135135136,0.09836065573770492,0.503188663825813
300,0.5,0.01,0.0,0.0,0.0,0.6514469382989901
300,0.5,0.02,0.8571428571428571,0.08108108108108109,0.14814814814814814,0.6514469382989901
300,0.5,0.05,0.5277777777777778,0.25675675675675674,0.34545454545454546,0.6514469382989901
300,0.5,0.1,0.28865979381443296,0.3783783783783784,0.32748538011695905,0.6514469382989901
300,0.75,0.01,0.0,0.0,0.0,0.5747037534294553
300,0.75,0.02,0.3333333333333333,0.006756756756756757,0.013245033112582781,0.5747037534294553
300,0.75,0.05,0.1917808219178082,0.0945945945945946,0.12669683257918551,0.5747037534294553
300,0.75,0.1,0.1834319526627219,0.20945945945945946,0.19558359621451105,0.5747037534294553
300,1.0,0.01,0.0,0.0,0.0,0.5105546961648473
300,1.0,0.02,0.3333333333333333,0.02027027027027027,0.03821656050955414,0.5105546961648473
300,1.0,0.05,0.1206896551724138,0.0472972972972973,0.06796116504854369,0.5105546961648473
300,1.0,0.1,0.16184971098265896,0.1891891891891892,0.17445482866043613,0.5105546961648473
