n_estimators,max_samples,contamination,precision,recall,f1,roc_auc
100,0.5,0.01,0.5,0.15384615384615385,0.23529411764705882,0.8747763864042933
100,0.5,0.02,0.5714285714285714,0.3076923076923077,0.4,0.8747763864042933
100,0.5,0.05,0.2608695652173913,0.46153846153846156,0.3333333333333333,0.8747763864042933
100,0.75,0.01,1.0,0.23076923076923078,0.375,0.8539057841383423
100,0.75,0.02,0.42857142857142855,0.23076923076923078,0.3,0.8539057841383423
100,0.75,0.05,0.2727272727272727,0.46153846153846156,0.34285714285714286,0.8539057841383423
100,1.0,0.01,0.2857142857142857,0.15384615384615385,0.2,0.8300536672629696
100,1.0,0.02,0.4,0.3076923076923077,0.34782608695652173,0.8300536672629696
100,1.0,0.05,0.3,0.46153846153846156,0.36363636363636365,0.8300536672629696
200,0.5,0.01,0.6666666666666666,0.15384615384615385,0.25,0.8706022659511031
200,0.5,0.02,0.375,0.23076923076923078,0.2857142857142857,0.8706022659511031
200,0.5,0.05,0.25,0.38461538461538464,0.30303030303030304,0.8706022659511031
200,0.75,0.01,0.6666666666666666,0.15384615384615385,0.25,0.8391969787318625
200,0.75,0.02,0.42857142857142855,0.23076923076923078,0.3,0.8391969787318625
200,0.75,0.05,0.2608695652173913,0.46153846153846156,0.3333333333333333,0.8391969787318625
200,1.0,0.01,0.6666666666666666,0.15384615384615385,0.25,0.8141522560127211
200,1.0,0.02,0.36363636363636365,0.3076923076923077,0.3333333333333333,0.8141522560127211
200,1.0,0.05,0.3,0.46153846153846156,0.36363636363636365,0.8141522560127211
300,0.5,0.01,0.6666666666666666,0.15384615384615385,0.25,0.8431723315444246
300,0.5,0.02,0.42857142857142855,0.23076923076923078,0.3,0.8431723315444246
300,0.5,0.05,0.18181818181818182,0.3076923076923077,0.22857142857142856,0.8431723315444246
300,0.75,0.01,0.75,0.23076923076923078,0.35294117647058826,0.8093818326376466
300,0.75,0.02,0.4,0.3076923076923077,0.34782608695652173,0.8093818326376466
300,0.75,0.05,0.3,0.46153846153846156,0.36363636363636365,0.8093818326376466
300,1.0,0.01,0.6666666666666666,0.15384615384615385,0.25,0.774597495527728
300,1.0,0.02,0.42857142857142855,0.23076923076923078,0.3,0.774597495527728
300,1.0,0.05,0.2727272727272727,0.46153846153846156,0.34285714285714286,0.774597495527728
