n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,precision,recall,f1,roc_auc,pr_auc,best_iteration
100,3,0.03,0.8,0.8,1,0.7254901960784313,1.0,0.8409090909090909,0.9993980211312825,0.9924652821618914,99
100,3,0.03,0.8,0.8,3,0.7254901960784313,1.0,0.8409090909090909,0.9993980211312825,0.9924652821618914,99
100,3,0.03,0.8,1.0,1,0.6948356807511737,1.0,0.8199445983379502,0.9995658455431673,0.9935965516000528,99
100,3,0.03,0.8,1.0,3,0.6948356807511737,1.0,0.8199445983379502,0.9995658455431673,0.9935965516000529,99
100,3,0.03,1.0,0.8,1,0.7219512195121951,1.0,0.8385269121813032,0.999553076294437,0.9939707259285486,99
100,3,0.03,1.0,0.8,3,0.7219512195121951,1.0,0.8385269121813032,0.999553076294437,0.9939707259285486,99
100,3,0.03,1.0,1.0,1,0.7081339712918661,1.0,0.8291316526610645,0.9995476037592667,0.9928152710812826,99
100,3,0.03,1.0,1.0,3,0.7081339712918661,1.0,0.8291316526610645,0.9995476037592667,0.9928152710812826,99
100,3,0.05,0.8,0.8,1,0.7914438502673797,1.0,0.8835820895522388,0.999934329577958,0.9988167312836745,99
100,3,0.05,0.8,0.8,3,0.7914438502673797,1.0,0.8835820895522388,0.9999343295779581,0.9988167312836747,99
100,3,0.05,0.8,1.0,1,0.7914438502673797,1.0,0.8835820895522388,0.9997993403770942,0.9965349965349967,99
100,3,0.05,0.8,1.0,3,0.7668393782383419,1.0,0.8680351906158358,0.9998358239448952,0.9969485614646906,99
100,3,0.05,1.0,0.8,1,0.774869109947644,1.0,0.8731563421828908,0.9999179119724476,0.9984299715537038,99
100,3,0.05,1.0,0.8,3,0.774869109947644,1.0,0.8731563421828908,0.9999179119724476,0.9984299715537038,99
100,3,0.05,1.0,1.0,1,0.7914438502673797,1.0,0.8835820895522388,0.9997993403770942,0.9965349965349964,99
100,3,0.05,1.0,1.0,3,0.7914438502673797,1.0,0.8835820895522388,0.9997993403770941,0.9965349965349966,99
100,3,0.1,0.8,0.8,1,0.9367088607594937,1.0,0.9673202614379085,0.9999306812211781,0.9987726671905173,99
100,3,0.1,0.8,0.8,3,0.9426751592356688,1.0,0.9704918032786886,0.999930681221178,0.9987726671905172,99
100,3,0.1,0.8,1.0,1,0.9426751592356688,1.0,0.9704918032786886,0.9999087910804974,0.9984299715537039,99
100,3,0.1,0.8,1.0,3,0.9367088607594937,1.0,0.9673202614379085,0.9999160877940576,0.9986402596512451,99
100,3,0.1,1.0,0.8,1,0.9426751592356688,1.0,0.9704918032786886,0.999930681221178,0.9987726671905173,99
100,3,0.1,1.0,0.8,3,0.9367088607594937,1.0,0.9673202614379085,0.999930681221178,0.9987726671905172,99
100,3,0.1,1.0,1.0,1,0.9426751592356688,1.0,0.9704918032786886,0.9999069669021072,0.9985128876030064,99
100,3,0.1,1.0,1.0,3,0.9426751592356688,1.0,0.9704918032786886,0.9999014943669371,0.998463807477319,99
100,5,0.03,0.8,0.8,1,0.9079754601226994,1.0,0.9517684887459807,0.9998759558694763,0.9984272011654982,99
100,5,0.03,0.8,0.8,3,0.9079754601226994,1.0,0.9517684887459807,0.9998905492965968,0.9986241372319994,99
100,5,0.03,0.8,1.0,1,0.8654970760233918,1.0,0.9278996865203761,0.9998029887338742,0.9964069953573148,99
100,5,0.03,0.8,1.0,3,0.8604651162790697,1.0,0.925,0.999894197653377,0.9983656457217782,99
100,5,0.03,1.0,0.8,1,0.9367088607594937,1.0,0.9673202614379085,0.999861362442356,0.9981993867632589,99
100,5,0.03,1.0,0.8,3,0.9308176100628931,1.0,0.9641693811074918,0.9998577140855758,0.9981514660550909,99
100,5,0.03,1.0,1.0,1,0.8654970760233918,1.0,0.9278996865203761,0.9997883953067538,0.9960669701696728,99
100,5,0.03,1.0,1.0,3,0.8554913294797688,1.0,0.9221183800623053,0.9998431206584554,0.9969786192807776,99
100,5,0.05,0.8,0.8,1,0.9426751592356688,1.0,0.9704918032786886,0.999865010799136,0.9983216437238881,99
100,5,0.05,0.8,0.8,3,0.9426751592356688,1.0,0.9704918032786886,0.9998905492965968,0.9986432913694556,99
100,5,0.05,0.8,1.0,1,0.9426751592356688,1.0,0.9704918032786886,0.999863186620746,0.9981745429975115,99
100,5,0.05,0.8,1.0,3,0.9426751592356688,1.0,0.9704918032786886,0.9999343295779581,0.9991347586863778,99
100,5,0.05,1.0,0.8,1,0.961038961038961,1.0,0.9801324503311258,0.9998759558694764,0.9984586108351553,99
100,5,0.05,1.0,0.8,3,0.9426751592356688,1.0,0.9704918032786886,0.9999087910804972,0.9988701159832087,99
100,5,0.05,1.0,1.0,1,0.961038961038961,1.0,0.9801324503311258,0.9998321755881152,0.9973648507981391,99
100,5,0.05,1.0,1.0,3,0.9426751592356688,1.0,0.9704918032786886,0.9998759558694763,0.9981097568440725,99
100,5,0.1,0.8,0.8,1,0.9548387096774194,1.0,0.976897689768977,0.9999051427237172,0.9988049580419461,97
100,5,0.1,0.8,0.8,3,0.9548387096774194,1.0,0.976897689768977,0.9999197361508376,0.998988900184368,98
100,5,0.1,0.8,1.0,1,0.961038961038961,1.0,0.9801324503311258,0.9998577140855758,0.9982000683463819,99
100,5,0.1,0.8,1.0,3,0.9548387096774194,1.0,0.976897689768977,0.9998723075126963,0.998388346715446,99
100,5,0.1,1.0,0.8,1,0.961038961038961,1.0,0.9801324503311258,0.999894197653377,0.9986679890308181,99
100,5,0.1,1.0,0.8,3,0.9548387096774194,1.0,0.976897689768977,0.9998905492965968,0.9986170709546464,98
100,5,0.1,1.0,1.0,1,0.961038961038961,1.0,0.9801324503311258,0.999824878874555,0.9977933668778042,99
100,5,0.1,1.0,1.0,3,0.9426751592356688,1.0,0.9704918032786886,0.9998869009398167,0.9985781576534302,93
100,7,0.03,0.8,0.8,1,0.9487179487179487,1.0,0.9736842105263158,0.9999270328643979,0.9990847371280062,99
100,7,0.03,0.8,0.8,3,0.9426751592356688,1.0,0.9704918032786886,0.9999379779347382,0.9992246090931114,99
100,7,0.03,0.8,1.0,1,0.9426751592356688,1.0,0.9704918032786886,0.9999033185453272,0.9987651303173393,99
100,7,0.03,0.8,1.0,3,0.9367088607594937,1.0,0.9673202614379085,0.9999270328643979,0.9990840490265117,99
100,7,0.03,1.0,0.8,1,0.961038961038961,1.0,0.9801324503311258,0.9999562197186387,0.9994560555962312,99
100,7,0.03,1.0,0.8,3,0.9426751592356688,1.0,0.9704918032786886,0.9999489230050785,0.9993616335206453,99
100,7,0.03,1.0,1.0,1,0.961038961038961,1.0,0.9801324503311258,0.9997883953067538,0.9962031684703432,99
100,7,0.03,1.0,1.0,3,0.9367088607594937,1.0,0.9673202614379085,0.9999179119724476,0.9985548187763305,99
100,7,0.05,0.8,0.8,1,0.961038961038961,1.0,0.9801324503311258,0.9999160877940575,0.9989432813869443,99
100,7,0.05,0.8,0.8,3,0.961038961038961,1.0,0.9801324503311258,0.9999233845076178,0.9990389502533197,99
100,7,0.05,0.8,1.0,1,0.961038961038961,1.0,0.9801324503311258,0.9998759558694764,0.9984442022155192,99
100,7,0.05,0.8,1.0,3,0.9426751592356688,1.0,0.9704918032786886,0.9999270328643979,0.9990856644151068,99
100,7,0.05,1.0,0.8,1,0.961038961038961,1.0,0.9801324503311258,0.9999416262915183,0.9992708910155307,99
100,7,0.05,1.0,0.8,3,0.961038961038961,1.0,0.9801324503311258,0.9999197361508377,0.9989995449609056,99
100,7,0.05,1.0,1.0,1,0.961038961038961,1.0,0.9801324503311258,0.9998869009398167,0.9985816960130877,99
100,7,0.05,1.0,1.0,3,0.9426751592356688,1.0,0.9704918032786886,0.9999233845076178,0.9990490184785766,99
100,7,0.1,0.8,0.8,1,0.961038961038961,1.0,0.9801324503311258,0.9999087910804972,0.9988558604002551,83
100,7,0.1,0.8,0.8,3,0.961038961038961,1.0,0.9801324503311258,0.9999233845076178,0.9990370546542668,98
100,7,0.1,0.8,1.0,1,0.961038961038961,1.0,0.9801324503311258,0.999865010799136,0.9983091487829512,77
100,7,0.1,0.8,1.0,3,0.9487179487179487,1.0,0.9736842105263158,0.9999124394372775,0.9988853224498009,77
100,7,0.1,1.0,0.8,1,0.961038961038961,1.0,0.9801324503311258,0.9999051427237173,0.9988141940703351,91
100,7,0.1,1.0,0.8,3,0.9548387096774194,1.0,0.976897689768977,0.9999087910804974,0.9988600269280439,93
100,7,0.1,1.0,1.0,1,0.9673202614379085,1.0,0.9833887043189369,0.9999014943669372,0.9987748069772653,95
100,7,0.1,1.0,1.0,3,0.9426751592356688,1.0,0.9704918032786886,0.9998796042262565,0.9984788501212262,84
200,3,0.03,0.8,0.8,1,0.8268156424581006,1.0,0.9051987767584098,0.9999343295779581,0.9988161016352954,199
200,3,0.03,0.8,0.8,3,0.8268156424581006,1.0,0.9051987767584098,0.9999343295779581,0.9988161016352953,199
200,3,0.03,0.8,1.0,1,0.8862275449101796,1.0,0.9396825396825397,0.9999087910804974,0.9977919095566155,199
200,3,0.03,0.8,1.0,3,0.8862275449101796,1.0,0.9396825396825397,0.9999087910804975,0.9977919095566155,199
200,3,0.03,1.0,0.8,1,0.8268156424581006,1.0,0.9051987767584098,0.9999179119724476,0.9984299715537038,199
200,3,0.03,1.0,0.8,3,0.8268156424581006,1.0,0.9051987767584098,0.9999179119724476,0.9984299715537038,199
200,3,0.03,1.0,1.0,1,0.8176795580110497,1.0,0.8996960486322189,0.9998723075126962,0.9973674973674973,199
200,3,0.03,1.0,1.0,3,0.8176795580110497,1.0,0.8996960486322189,0.9998723075126963,0.9973674973674974,199
200,3,0.05,0.8,0.8,1,0.9426751592356688,1.0,0.9704918032786886,0.999936153756348,0.9990422849803423,199
200,3,0.05,0.8,0.8,3,0.9426751592356688,1.0,0.9704918032786886,0.9999379779347383,0.9990895350275925,199
200,3,0.05,0.8,1.0,1,0.9426751592356688,1.0,0.9704918032786886,0.9999069669021072,0.998592692640242,199
200,3,0.05,0.8,1.0,3,0.9426751592356688,1.0,0.9704918032786886,0.9999160877940576,0.9986383539341603,199
200,3,0.05,1.0,0.8,1,0.9426751592356688,1.0,0.9704918032786886,0.9999325053995681,0.99881566684652,199
200,3,0.05,1.0,0.8,3,0.9367088607594937,1.0,0.9673202614379085,0.999934329577958,0.9989525083990974,199
200,3,0.05,1.0,1.0,1,0.9367088607594937,1.0,0.9673202614379085,0.9999160877940576,0.9986383539341602,199
200,3,0.05,1.0,1.0,3,0.9367088607594937,1.0,0.9673202614379085,0.9999033185453272,0.9984681655505624,199
200,3,0.1,0.8,0.8,1,0.9487179487179487,1.0,0.9736842105263158,0.9999160877940575,0.9989534299683622,199
200,3,0.1,0.8,0.8,3,0.9367088607594937,1.0,0.9673202614379085,0.9999160877940575,0.9989419281686394,199
200,3,0.1,0.8,1.0,1,0.9426751592356688,1.0,0.9704918032786886,0.9999197361508376,0.9989919891894143,199
200,3,0.1,0.8,1.0,3,0.9367088607594937,1.0,0.9673202614379085,0.9999087910804974,0.9988567977287958,199
200,3,0.1,1.0,0.8,1,0.9426751592356688,1.0,0.9704918032786886,0.9999014943669371,0.9987693699152685,193
200,3,0.1,1.0,0.8,3,0.9426751592356688,1.0,0.9704918032786886,0.9999051427237172,0.9987991895324072,197
200,3,0.1,1.0,1.0,1,0.9426751592356688,1.0,0.9704918032786886,0.999865010799136,0.9983097040387332,195
200,3,0.1,1.0,1.0,3,0.9426751592356688,1.0,0.9704918032786886,0.9998723075126964,0.9983994459502872,199
200,5,0.03,0.8,0.8,1,0.9426751592356688,1.0,0.9704918032786886,0.9999160877940576,0.9989571914158797,199
200,5,0.03,0.8,0.8,3,0.9426751592356688,1.0,0.9704918032786886,0.9999197361508376,0.9989994007187397,199
200,5,0.03,0.8,1.0,1,0.9426751592356688,1.0,0.9704918032786886,0.9998631866207461,0.9982318807644464,199
200,5,0.03,0.8,1.0,3,0.9426751592356688,1.0,0.9704918032786886,0.9999233845076179,0.9990405989502542,199
200,5,0.03,1.0,0.8,1,0.9426751592356688,1.0,0.9704918032786886,0.9998905492965968,0.9986391938818541,199
200,5,0.03,1.0,0.8,3,0.9426751592356688,1.0,0.9704918032786886,0.9999233845076178,0.9990460185570436,199
200,5,0.03,1.0,1.0,1,0.961038961038961,1.0,0.9801324503311258,0.999863186620746,0.9982373686267318,199
200,5,0.03,1.0,1.0,3,0.9426751592356688,1.0,0.9704918032786886,0.999899670188547,0.9984660883108512,199
200,5,0.05,0.8,0.8,1,0.9548387096774194,1.0,0.976897689768977,0.999897846010157,0.9987203768444626,199
200,5,0.05,0.8,0.8,3,0.9548387096774194,1.0,0.976897689768977,0.999897846010157,0.9987160723820074,199
200,5,0.05,0.8,1.0,1,0.9548387096774194,1.0,0.976897689768977,0.9998759558694764,0.9984318362708965,197
200,5,0.05,0.8,1.0,3,0.9548387096774194,1.0,0.976897689768977,0.9998941976533768,0.9986815244057152,199
200,5,0.05,1.0,0.8,1,0.961038961038961,1.0,0.9801324503311258,0.9998905492965968,0.998634966560741,199
200,5,0.05,1.0,0.8,3,0.9548387096774194,1.0,0.976897689768977,0.9999051427237172,0.9988127808519676,195
200,5,0.05,1.0,1.0,1,0.961038961038961,1.0,0.9801324503311258,0.9998358239448952,0.9979369093422937,199
200,5,0.05,1.0,1.0,3,0.9487179487179487,1.0,0.9736842105263158,0.9998577140855761,0.9982161548495033,199
200,5,0.1,0.8,0.8,1,0.9548387096774194,1.0,0.976897689768977,0.9999087910804974,0.9988517198386788,106
200,5,0.1,0.8,0.8,3,0.9487179487179487,1.0,0.9736842105263158,0.9999197361508376,0.9989749159023972,106
200,5,0.1,0.8,1.0,1,0.9548387096774194,1.0,0.976897689768977,0.9998577140855758,0.9981982733969389,120
200,5,0.1,0.8,1.0,3,0.961038961038961,1.0,0.9801324503311258,0.9998796042262564,0.9984856067235319,131
200,5,0.1,1.0,0.8,1,0.961038961038961,1.0,0.9801324503311258,0.9998796042262564,0.9984922961751796,122
200,5,0.1,1.0,0.8,3,0.9548387096774194,1.0,0.976897689768977,0.9998869009398168,0.9985828096607392,132
200,5,0.1,1.0,1.0,1,0.961038961038961,1.0,0.9801324503311258,0.9998321755881151,0.9978917493074468,114
200,5,0.1,1.0,1.0,3,0.961038961038961,1.0,0.9801324503311258,0.9998394723016752,0.997968126331358,150
200,7,0.03,0.8,0.8,1,0.961038961038961,1.0,0.9801324503311258,0.999930681221178,0.9991271254125202,199
200,7,0.03,0.8,0.8,3,0.9426751592356688,1.0,0.9704918032786886,0.9999379779347383,0.9992236941442334,199
200,7,0.03,0.8,1.0,1,0.961038961038961,1.0,0.9801324503311258,0.9999014943669371,0.9987670348879719,199
200,7,0.03,0.8,1.0,3,0.9426751592356688,1.0,0.9704918032786886,0.9999416262915184,0.9992692682107448,199
200,7,0.03,1.0,0.8,1,0.961038961038961,1.0,0.9801324503311258,0.999930681221178,0.9991304397018763,199
200,7,0.03,1.0,0.8,3,0.9426751592356688,1.0,0.9704918032786886,0.9999197361508376,0.9989915439352066,199
200,7,0.03,1.0,1.0,1,0.961038961038961,1.0,0.9801324503311258,0.9998759558694763,0.998444202215519,199
200,7,0.03,1.0,1.0,3,0.9426751592356688,1.0,0.9704918032786886,0.9999124394372775,0.9989108237022845,199
200,7,0.05,0.8,0.8,1,0.9673202614379085,1.0,0.9833887043189369,0.9999160877940575,0.9989492916050026,196
200,7,0.05,0.8,0.8,3,0.961038961038961,1.0,0.9801324503311258,0.9999197361508376,0.998985984458326,199
200,7,0.05,0.8,1.0,1,0.9673202614379085,1.0,0.9833887043189369,0.9998832525830366,0.9985342552152293,186
200,7,0.05,0.8,1.0,3,0.961038961038961,1.0,0.9801324503311258,0.9998978460101571,0.9986927070846439,190
200,7,0.05,1.0,0.8,1,0.961038961038961,1.0,0.9801324503311258,0.9999124394372774,0.9989114992519654,169
200,7,0.05,1.0,0.8,3,0.9548387096774194,1.0,0.976897689768977,0.9999051427237172,0.998808102782231,198
200,7,0.05,1.0,1.0,1,0.9673202614379085,1.0,0.9833887043189369,0.9998832525830367,0.9985504823031195,191
200,7,0.05,1.0,1.0,3,0.961038961038961,1.0,0.9801324503311258,0.9998796042262565,0.9984940894017585,198
200,7,0.1,0.8,0.8,1,0.961038961038961,1.0,0.9801324503311258,0.9999087910804972,0.9988558604002551,83
200,7,0.1,0.8,0.8,3,0.961038961038961,1.0,0.9801324503311258,0.9999233845076178,0.9990370546542668,98
200,7,0.1,0.8,1.0,1,0.961038961038961,1.0,0.9801324503311258,0.999865010799136,0.9983091487829512,77
200,7,0.1,0.8,1.0,3,0.9487179487179487,1.0,0.9736842105263158,0.9999124394372775,0.9988853224498009,77
200,7,0.1,1.0,0.8,1,0.9673202614379085,1.0,0.9833887043189369,0.9999014943669371,0.9987690727033947,105
200,7,0.1,1.0,0.8,3,0.9548387096774194,1.0,0.976897689768977,0.9999087910804974,0.9988600269280439,93
200,7,0.1,1.0,1.0,1,0.9673202614379085,1.0,0.9833887043189369,0.9999014943669372,0.9987748069772653,95
200,7,0.1,1.0,1.0,3,0.961038961038961,1.0,0.9801324503311258,0.9998686591559162,0.998357339463522,104
300,3,0.03,0.8,0.8,1,0.9367088607594937,1.0,0.9673202614379085,0.9999398021131283,0.9989888469409621,299
300,3,0.03,0.8,0.8,3,0.9308176100628931,1.0,0.9641693811074918,0.9999379779347383,0.9989450193295668,299
300,3,0.03,0.8,1.0,1,0.925,1.0,0.961038961038961,0.9999343295779581,0.9988590801340731,299
300,3,0.03,0.8,1.0,3,0.9135802469135802,1.0,0.9548387096774194,0.9999306812211779,0.9987726671905173,299
300,3,0.03,1.0,0.8,1,0.9192546583850931,1.0,0.9579288025889967,0.999932505399568,0.9989095087430945,299
300,3,0.03,1.0,0.8,3,0.925,1.0,0.961038961038961,0.9999179119724476,0.9984299715537039,299
300,3,0.03,1.0,1.0,1,0.9079754601226994,1.0,0.9517684887459807,0.999930681221178,0.998772667190517,299
300,3,0.03,1.0,1.0,3,0.9024390243902439,1.0,0.9487179487179487,0.999932505399568,0.9988156668465198,299
300,3,0.05,0.8,0.8,1,0.9426751592356688,1.0,0.9704918032786886,0.9999343295779581,0.9991741608079987,299
300,3,0.05,0.8,0.8,3,0.9426751592356688,1.0,0.9704918032786886,0.9999197361508377,0.9989902674574521,299
300,3,0.05,0.8,1.0,1,0.9426751592356688,1.0,0.9704918032786886,0.9999051427237172,0.9988179024859309,299
300,3,0.05,0.8,1.0,3,0.9426751592356688,1.0,0.9704918032786886,0.9999014943669371,0.9987709851854927,299
300,3,0.05,1.0,0.8,1,0.9426751592356688,1.0,0.9704918032786886,0.9999142636156675,0.9989027578928227,298
300,3,0.05,1.0,0.8,3,0.9426751592356688,1.0,0.9704918032786886,0.9999252086860078,0.9989500244987894,298
300,3,0.05,1.0,1.0,1,0.9426751592356688,1.0,0.9704918032786886,0.9998978460101571,0.9987269979767412,299
300,3,0.05,1.0,1.0,3,0.9426751592356688,1.0,0.9704918032786886,0.9998814284046466,0.99844855033591,299
300,3,0.1,0.8,0.8,1,0.9487179487179487,1.0,0.9736842105263158,0.9999014943669371,0.9987659289119145,220
300,3,0.1,0.8,0.8,3,0.9426751592356688,1.0,0.9704918032786886,0.999894197653377,0.9986629555704937,298
300,3,0.1,0.8,1.0,1,0.9426751592356688,1.0,0.9704918032786886,0.9999233845076178,0.9990361272872436,202
300,3,0.1,0.8,1.0,3,0.961038961038961,1.0,0.9801324503311258,0.9998832525830366,0.9985287636333098,277
300,3,0.1,1.0,0.8,1,0.9548387096774194,1.0,0.976897689768977,0.9998796042262564,0.998491588095847,245
300,3,0.1,1.0,0.8,3,0.9426751592356688,1.0,0.9704918032786886,0.9999014943669372,0.9987484926243153,211
300,3,0.1,1.0,1.0,1,0.961038961038961,1.0,0.9801324503311258,0.9998504173720155,0.9981105295734317,284
300,3,0.1,1.0,1.0,3,0.9548387096774194,1.0,0.976897689768977,0.999861362442356,0.998248323446989,299
300,5,0.03,0.8,0.8,1,0.961038961038961,1.0,0.9801324503311258,0.999897846010157,0.9987213430213637,299
300,5,0.03,0.8,0.8,3,0.9426751592356688,1.0,0.9704918032786886,0.9999197361508376,0.998993429702832,299
300,5,0.03,0.8,1.0,1,0.961038961038961,1.0,0.9801324503311258,0.9998759558694763,0.9984399659008483,288
300,5,0.03,0.8,1.0,3,0.9426751592356688,1.0,0.9704918032786886,0.9999087910804974,0.9988498136111192,299
300,5,0.03,1.0,0.8,1,0.9548387096774194,1.0,0.976897689768977,0.9998941976533768,0.998679743209678,298
300,5,0.03,1.0,0.8,3,0.9548387096774194,1.0,0.976897689768977,0.9999051427237172,0.998810445824671,299
300,5,0.03,1.0,1.0,1,0.961038961038961,1.0,0.9801324503311258,0.9998394723016754,0.9979844183062787,299
300,5,0.03,1.0,1.0,3,0.9426751592356688,1.0,0.9704918032786886,0.9998686591559162,0.9983552368210102,299
300,5,0.05,0.8,0.8,1,0.9548387096774194,1.0,0.976897689768977,0.9998869009398167,0.9985780830256948,235
300,5,0.05,0.8,0.8,3,0.9548387096774194,1.0,0.976897689768977,0.9998905492965968,0.9986214183063229,207
300,5,0.05,0.8,1.0,1,0.961038961038961,1.0,0.9801324503311258,0.999861362442356,0.9982432372650895,220
300,5,0.05,0.8,1.0,3,0.9548387096774194,1.0,0.976897689768977,0.9998759558694763,0.9984336813987453,240
300,5,0.05,1.0,0.8,1,0.961038961038961,1.0,0.9801324503311258,0.9998759558694763,0.9984443866171697,252
300,5,0.05,1.0,0.8,3,0.9548387096774194,1.0,0.976897689768977,0.9998796042262564,0.9984825810326646,244
300,5,0.05,1.0,1.0,1,0.9673202614379085,1.0,0.9833887043189369,0.9998394723016752,0.9979822648401031,250
300,5,0.05,1.0,1.0,3,0.9548387096774194,1.0,0.976897689768977,0.9998394723016752,0.9979713196145991,277
300,5,0.1,0.8,0.8,1,0.9548387096774194,1.0,0.976897689768977,0.9999087910804974,0.9988517198386788,106
