feature,importance
num__transaction_amount,0.33342043
num__transaction_gap_minutes,0.10709988
cat__merchant_category_digital_goods,0.10479024
num__distance_from_last_transaction_km,0.064370014
cat__merchant_category_electronics,0.061892435
cat__merchant_category_grocery,0.050386257
cat__merchant_category_dining,0.049931202
cat__merchant_category_retail,0.038329042
cat__merchant_category_entertainment,0.0348102
num__new_merchant,0.027311893
cat__merchant_category_travel,0.02592042
num__new_device,0.021687776
num__device_usage_frequency,0.013540991
num__new_location,0.013262419
cat__payment_method_digital_wallet,0.0094813565
num__daily_transaction_count,0.006931385
num__hour_of_day,0.00594372
cat__merchant_id_merch_user_10_6,0.0040080287
cat__merchant_id_merch_user_10_16,0.0036537028
cat__payment_method_credit_card,0.002434218
