feature,importance
num__transaction_amount,0.3059399
num__transaction_gap_minutes,0.14366758
cat__merchant_category_electronics,0.09412925
cat__merchant_category_grocery,0.08837927
cat__merchant_category_dining,0.083600216
cat__merchant_category_retail,0.075406566
cat__merchant_category_entertainment,0.064777434
cat__merchant_category_digital_goods,0.039823536
num__device_usage_frequency,0.03820191
num__new_merchant,0.03192331
num__distance_from_last_transaction_km,0.006203205
cat__merchant_category_travel,0.0056052874
num__daily_transaction_count,0.0034684662
num__hour_of_day,0.002488164
cat__payment_method_digital_wallet,0.0020058507
cat__city_loc_user_07_2,0.0017686542
num__location_visit_frequency,0.0014902112
num__merchant_visit_frequency,0.0013310497
num__day_of_week,0.0012877539
cat__payment_method_debit_card,0.0012872696
