feature,importance
num__transaction_amount,0.18481846
num__new_device,0.12497822
cat__merchant_category_electronics,0.09693974
cat__merchant_category_grocery,0.094320685
num__transaction_gap_minutes,0.06724059
cat__merchant_category_dining,0.06422814
cat__merchant_category_entertainment,0.05275187
cat__merchant_category_digital_goods,0.05206593
num__distance_from_last_transaction_km,0.043189734
num__new_merchant,0.035576534
num__new_location,0.028921524
cat__merchant_category_retail,0.027388101
cat__merchant_category_travel,0.026648754
num__device_usage_frequency,0.02164765
cat__merchant_id_merch_user_08_13,0.019067613
cat__merchant_id_merch_user_08_15,0.019067192
num__location_visit_frequency,0.008824089
num__daily_transaction_count,0.007238057
num__hour_of_day,0.005039331
num__day_of_week,0.00312033
