n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,precision,recall,f1,roc_auc,pr_auc,best_iteration
100,3,0.03,0.8,0.8,1,0.8035714285714286,1.0,0.8910891089108911,0.9998183760683761,0.9975269622220163,99
100,3,0.03,0.8,0.8,3,0.8035714285714286,1.0,0.8910891089108911,0.9998183760683761,0.9975269622220164,99
100,3,0.03,0.8,1.0,1,0.8181818181818182,1.0,0.9,0.9996565934065935,0.9947644504711214,99
100,3,0.03,0.8,1.0,3,0.8181818181818182,1.0,0.9,0.9996581196581197,0.9947657607436581,99
100,3,0.03,1.0,0.8,1,0.8108108108108109,1.0,0.8955223880597015,0.999702380952381,0.9952833654817672,99
100,3,0.03,1.0,0.8,3,0.8108108108108109,1.0,0.8955223880597015,0.9997023809523808,0.9952833654817672,99
100,3,0.03,1.0,1.0,1,0.8144796380090498,1.0,0.8977556109725686,0.9995085470085471,0.9913377004581901,99
100,3,0.03,1.0,1.0,3,0.8144796380090498,1.0,0.8977556109725686,0.9994444444444445,0.9907825854700856,99
100,3,0.05,0.8,0.8,1,0.8737864077669902,1.0,0.9326424870466321,0.9999358974358974,0.9987249544626595,99
100,3,0.05,0.8,0.8,3,0.8695652173913043,1.0,0.9302325581395349,0.9999358974358974,0.9987249544626593,99
100,3,0.05,0.8,1.0,1,0.8910891089108911,1.0,0.9424083769633508,0.9999023199023199,0.9981791663366859,99
100,3,0.05,0.8,1.0,3,0.8910891089108911,1.0,0.9424083769633508,0.9999358974358975,0.9987249544626593,99
100,3,0.05,1.0,0.8,1,0.8910891089108911,1.0,0.9424083769633508,0.9999679487179487,0.9993624772313296,99
100,3,0.05,1.0,0.8,3,0.9,1.0,0.9473684210526315,0.9999679487179487,0.9993624772313295,99
100,3,0.05,1.0,1.0,1,0.8910891089108911,1.0,0.9424083769633508,0.9999145299145299,0.9983091787439612,99
100,3,0.05,1.0,1.0,3,0.8780487804878049,1.0,0.935064935064935,0.9999145299145299,0.9983091787439613,99
100,3,0.1,0.8,0.8,1,0.967741935483871,1.0,0.9836065573770492,0.9999725274725275,0.9994535519125682,99
100,3,0.1,0.8,0.8,3,0.967741935483871,1.0,0.9836065573770492,0.99997557997558,0.9996955649700169,99
100,3,0.1,0.8,1.0,1,0.967741935483871,1.0,0.9836065573770492,0.9999847374847375,0.9997547878763348,99
100,3,0.1,0.8,1.0,3,0.967741935483871,1.0,0.9836065573770492,0.999981684981685,0.9997247632561461,99
100,3,0.1,1.0,0.8,1,0.967741935483871,1.0,0.9836065573770492,0.9999771062271063,0.9995446265938068,99
100,3,0.1,1.0,0.8,3,0.967741935483871,1.0,0.9836065573770492,0.9999771062271062,0.9995446265938068,99
100,3,0.1,1.0,1.0,1,0.967741935483871,1.0,0.9836065573770492,0.9999710012210012,0.9996028127245131,99
100,3,0.1,1.0,1.0,3,0.967741935483871,1.0,0.9836065573770492,0.9999801587301587,0.9996955649700168,99
100,5,0.03,0.8,0.8,1,0.9278350515463918,1.0,0.9625668449197861,0.9999038461538462,0.9989881112301882,99
100,5,0.03,0.8,0.8,3,0.9278350515463918,1.0,0.9625668449197861,0.9999648962148963,0.9996323090402615,99
100,5,0.03,0.8,1.0,1,0.9326424870466321,1.0,0.9651474530831099,0.9998641636141635,0.9979367671206669,99
100,5,0.03,0.8,1.0,3,0.9326424870466321,1.0,0.9651474530831099,0.9998763736263735,0.9982448512439108,99
100,5,0.03,1.0,0.8,1,0.9278350515463918,1.0,0.9625668449197861,0.9998946886446887,0.9988909298732879,99
100,5,0.03,1.0,0.8,3,0.9278350515463918,1.0,0.9625668449197861,0.9999191086691086,0.9991587424411392,99
100,5,0.03,1.0,1.0,1,0.9326424870466321,1.0,0.9651474530831099,0.9998458485958486,0.9976851668690668,99
100,5,0.03,1.0,1.0,3,0.9326424870466321,1.0,0.9651474530831099,0.9998656898656898,0.9980068667013798,99
100,5,0.05,0.8,0.8,1,0.972972972972973,1.0,0.9863013698630136,0.9999313186813188,0.9992865663755809,99
100,5,0.05,0.8,0.8,3,0.972972972972973,1.0,0.9863013698630136,0.9999710012210012,0.9996930235263345,99
100,5,0.05,0.8,1.0,1,0.9782608695652174,1.0,0.989010989010989,0.9998778998778999,0.9986797232403677,99
100,5,0.05,0.8,1.0,3,0.972972972972973,1.0,0.9863013698630136,0.999928266178266,0.9992484713272309,99
100,5,0.05,1.0,0.8,1,0.9782608695652174,1.0,0.989010989010989,0.9999297924297925,0.9992513035349669,99
100,5,0.05,1.0,0.8,3,0.9782608695652174,1.0,0.989010989010989,0.9999725274725275,0.999693523936671,99
100,5,0.05,1.0,1.0,1,0.972972972972973,1.0,0.9863013698630136,0.9998824786324787,0.9986958929792411,99
100,5,0.05,1.0,1.0,3,0.972972972972973,1.0,0.9863013698630136,0.9999160561660562,0.9990679509419802,99
100,5,0.1,0.8,0.8,1,0.9782608695652174,1.0,0.989010989010989,0.9999420024420025,0.9994119175827836,97
100,5,0.1,0.8,0.8,3,0.9782608695652174,1.0,0.989010989010989,0.9999450549450549,0.9994429014243423,99
100,5,0.1,0.8,1.0,1,0.9836065573770492,1.0,0.9917355371900827,0.9999114774114775,0.9990903237279272,99
100,5,0.1,0.8,1.0,3,0.9782608695652174,1.0,0.989010989010989,0.9999481074481075,0.9994721556819135,99
100,5,0.1,1.0,0.8,1,0.9782608695652174,1.0,0.989010989010989,0.999957264957265,0.9995684969416134,99
100,5,0.1,1.0,0.8,3,0.9782608695652174,1.0,0.989010989010989,0.9999603174603174,0.9995993592017769,99
100,5,0.1,1.0,1.0,1,0.9782608695652174,1.0,0.989010989010989,0.9999297924297924,0.999278801786015,99
100,5,0.1,1.0,1.0,3,0.9782608695652174,1.0,0.989010989010989,0.9999542124542125,0.999536375916392,98
100,7,0.03,0.8,0.8,1,0.9782608695652174,1.0,0.989010989010989,0.9999847374847375,0.9998465259615295,99
100,7,0.03,0.8,0.8,3,0.9782608695652174,1.0,0.989010989010989,0.9999847374847375,0.9998465259615295,99
100,7,0.03,0.8,1.0,1,0.9782608695652174,1.0,0.989010989010989,0.9997710622710623,0.9975301069615113,99
100,7,0.03,0.8,1.0,3,0.972972972972973,1.0,0.9863013698630136,0.9999023199023199,0.9989981525392702,99
100,7,0.03,1.0,0.8,1,0.972972972972973,1.0,0.9863013698630136,0.9999816849816849,0.9998173502271863,99
100,7,0.03,1.0,0.8,3,0.972972972972973,1.0,0.9863013698630136,0.9999786324786324,0.9997863136039707,99
100,7,0.03,1.0,1.0,1,0.972972972972973,1.0,0.9863013698630136,0.9997588522588523,0.9968434542805514,99
100,7,0.03,1.0,1.0,3,0.9782608695652174,1.0,0.989010989010989,0.9998687423687423,0.9983435771167554,99
100,7,0.05,0.8,0.8,1,0.9782608695652174,1.0,0.989010989010989,0.9999542124542125,0.9995358864446434,99
100,7,0.05,0.8,0.8,3,0.9782608695652174,1.0,0.989010989010989,0.9999755799755798,0.9997551026177037,99
100,7,0.05,0.8,1.0,1,0.9782608695652174,1.0,0.989010989010989,0.9998717948717949,0.9986589452262711,99
100,7,0.05,0.8,1.0,3,0.9782608695652174,1.0,0.989010989010989,0.9999023199023199,0.9989709436714005,99
100,7,0.05,1.0,0.8,1,0.9782608695652174,1.0,0.989010989010989,0.9999542124542125,0.9995395100547266,99
100,7,0.05,1.0,0.8,3,0.9782608695652174,1.0,0.989010989010989,0.9999358974358975,0.9993495646577296,99
100,7,0.05,1.0,1.0,1,0.972972972972973,1.0,0.9863013698630136,0.9999084249084249,0.9990513929253902,99
100,7,0.05,1.0,1.0,3,0.9782608695652174,1.0,0.989010989010989,0.9998992673992674,0.9989430662383246,99
100,7,0.1,0.8,0.8,1,0.9835164835164835,0.9944444444444445,0.988950276243094,0.9999420024420025,0.9994099120464219,99
100,7,0.1,0.8,0.8,3,0.9836065573770492,1.0,0.9917355371900827,0.999932844932845,0.999312560205402,97
100,7,0.1,0.8,1.0,1,0.9836065573770492,1.0,0.9917355371900827,0.9999053724053724,0.9990142410684391,74
100,7,0.1,0.8,1.0,3,0.9835164835164835,0.9944444444444445,0.988950276243094,0.9999114774114775,0.99908777429102,90
100,7,0.1,1.0,0.8,1,0.9836065573770492,1.0,0.9917355371900827,0.9999328449328448,0.9993152192592336,93
100,7,0.1,1.0,0.8,3,0.9835164835164835,0.9944444444444445,0.988950276243094,0.9999358974358974,0.9993475190008357,93
100,7,0.1,1.0,1.0,1,0.9782608695652174,1.0,0.989010989010989,0.9999145299145299,0.999123244196001,86
100,7,0.1,1.0,1.0,3,0.9835164835164835,0.9944444444444445,0.988950276243094,0.9999175824175824,0.9991531405934865,99
200,3,0.03,0.8,0.8,1,0.9137055837563451,1.0,0.9549071618037135,0.9999679487179487,0.9993624772313295,199
200,3,0.03,0.8,0.8,3,0.9137055837563451,1.0,0.9549071618037135,0.9999679487179487,0.9993624772313296,199
200,3,0.03,0.8,1.0,1,0.9045226130653267,1.0,0.9498680738786279,0.9999358974358976,0.9987249544626593,199
200,3,0.03,0.8,1.0,3,0.9045226130653267,1.0,0.9498680738786279,0.9999358974358974,0.9987249544626593,199
200,3,0.03,1.0,0.8,1,0.9137055837563451,1.0,0.9549071618037135,0.9999679487179487,0.9993624772313296,199
200,3,0.03,1.0,0.8,3,0.9137055837563451,1.0,0.9549071618037135,0.9999679487179487,0.9993624772313294,199
200,3,0.03,1.0,1.0,1,0.8955223880597015,1.0,0.9448818897637795,0.9999358974358975,0.9987249544626592,199
200,3,0.03,1.0,1.0,3,0.9,1.0,0.9473684210526315,0.9999358974358975,0.9987249544626592,199
200,3,0.05,0.8,0.8,1,0.967741935483871,1.0,0.9836065573770492,0.9999755799755801,0.9996935239366709,198
200,3,0.05,0.8,0.8,3,0.967741935483871,1.0,0.9836065573770492,0.9999603174603174,0.9995370744011415,198
